rs1800497	ANKK1
rs113993960	CFTR
rs121908755	CFTR
rs121908757	CFTR
rs121909005	CFTR
rs121909041	CFTR
rs193922525	CFTR
rs267606723	CFTR
rs74503330	CFTR
rs75527207	CFTR
rs80282562	CFTR
rs11188072	CYP2C19
rs12248560	CYP2C19
rs28399504	CYP2C19
rs41291556	CYP2C19
rs4244285	CYP2C19
rs4986893	CYP2C19
rs56337013	CYP2C19
rs72552267	CYP2C19
rs1057910	CYP2C9
rs1799853	CYP2C9
rs28371725	CYP2D6
rs35742686	CYP2D6
rs3892097	CYP2D6
rs5030655	CYP2D6
rs553846709	CYP2D6
rs776746	CYP3A5
rs2108622	CYP4F2
rs3918290	DPYD
rs55886062	DPYD
rs67376798	DPYD
rs121434568	EGFR
rs5030868	G6PD
rs1954787	GRIK4
rs1801133	MTHFR
rs4149056	SLCO1B1
rs2228001	TMEM43,XPC
rs1142345	TPMT
rs1800460	TPMT
rs1800462	TPMT
rs1800584	TPMT
rs7294	VKORC1
rs9923231	VKORC1
rs9934438	VKORC1
rs8099917	IFNL3
rs12979860	IFNL3
